UsageStartDate,ProductName,UnblendedCost,Currency,AccountNumber,AWSRegion,Dept,ProjectName,Env,Usage,Unit,CostType
2025-01-01,Compute,116.2,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,197.55,units,Usage
2025-01-01,Storage,35.89,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,61.02,units,Usage
2025-01-01,Database,80.35,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,136.59,units,Usage
2025-01-01,Data Transfer,25.86,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,43.96,units,Usage
2025-01-02,Compute,116.34,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,197.78,units,Usage
2025-01-02,Storage,34.8,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,59.15,units,Usage
2025-01-02,Database,81.26,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,138.13,units,Usage
2025-01-02,Data Transfer,25.3,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,43.01,units,Usage
2025-01-03,Compute,116.19,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,197.52,units,Usage
2025-01-03,Storage,36.2,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,61.53,units,Usage
2025-01-03,Database,81.13,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,137.92,units,Usage
2025-01-03,Data Transfer,26.18,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,44.5,units,Usage
2025-01-04,Compute,101.04,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,171.77,units,Usage
2025-01-04,Storage,30.77,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,52.3,units,Usage
2025-01-04,Database,67.16,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,114.17,units,Usage
2025-01-04,Data Transfer,21.04,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,35.77,units,Usage
2025-01-05,Compute,99.99,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,169.99,units,Usage
2025-01-05,Storage,31.81,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,54.08,units,Usage
2025-01-05,Database,68.7,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,116.79,units,Usage
2025-01-05,Data Transfer,21.61,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,36.73,units,Usage
2025-01-06,Compute,118.53,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,201.5,units,Usage
2025-01-06,Storage,34.95,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,59.41,units,Usage
2025-01-06,Database,80.29,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,136.49,units,Usage
2025-01-06,Data Transfer,25.84,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,43.92,units,Usage
2025-01-07,Compute,119.56,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,203.25,units,Usage
2025-01-07,Storage,36.01,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,61.21,units,Usage
2025-01-07,Database,81.66,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,138.83,units,Usage
2025-01-07,Data Transfer,25.71,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,43.71,units,Usage
2025-01-08,Compute,119.4,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,202.99,units,Usage
2025-01-08,Storage,35.3,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,60.0,units,Usage
2025-01-08,Database,82.09,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,139.55,units,Usage
2025-01-08,Data Transfer,24.67,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,41.95,units,Usage
2025-01-09,Compute,110.14,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,187.24,units,Usage
2025-01-09,Storage,35.75,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,60.78,units,Usage
2025-01-09,Database,79.34,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,134.87,units,Usage
2025-01-09,Data Transfer,26.13,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,44.42,units,Usage
2025-01-10,Compute,119.27,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,202.75,units,Usage
2025-01-10,Storage,35.26,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,59.95,units,Usage
2025-01-10,Database,82.75,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,140.68,units,Usage
