UsageStartDate,ProductName,UnblendedCost,Currency,AccountNumber,AWSRegion,Dept,ProjectName,Env,Usage,Unit,CostType
2025-01-01,Compute,120.72,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,205.23,units,Usage
2025-01-01,Storage,36.35,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,61.8,units,Usage
not-a-date,Database,81.87,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,139.18,units,Usage
2025-01-01,Data Transfer,25.97,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,44.14,units,Usage
2025-01-02,Compute,114.39,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,194.46,units,Usage
2025-01-02,Storage,34.74,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,59.06,units,Usage
2025-01-02,Database,78.49,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,133.43,units,Usage
2025-01-02,Data Transfer,25.66,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,43.63,units,Usage
2025-01-03,Compute,119.69,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,203.48,units,Usage
2025-01-03,,36.21,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,61.55,units,Usage
2025-01-03,Database,78.11,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,132.78,units,Usage
2025-01-03,Data Transfer,26.32,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,44.75,units,Usage
2025-01-04,Compute,94.82,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,161.2,units,Usage
2025-01-04,Storage,30.26,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,51.44,units,Usage
2025-01-04,Database,67.48,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,114.72,units,Usage
2025-01-04,Data Transfer,not-a-cost,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,37.06,units,Usage
2025-01-05,Compute,102.33,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,173.97,units,Usage
2025-01-05,Storage,29.43,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,50.03,units,Usage
2025-01-05,Database,68.01,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,115.62,units,Usage
2025-01-05,Data Transfer,21.86,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,37.16,units,Usage
2025-01-06,Compute,113.86,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,193.56,units,Usage
2025-01-06,Storage,36.11,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,61.38,units,Usage
2025-01-06,Database,81.24,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,138.11,units,Usage
2025-01-06,Data Transfer,24.74,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,42.06,units,Usage
2025-01-07,Compute,113.56,EUR,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,193.06,units,Usage
2025-01-07,Storage,36.17,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,61.48,units,Usage
2025-01-07,Database,80.52,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,136.88,units,Usage
2025-01-07,Data Transfer,25.69,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,43.68,units,Usage
2025-01-08,Compute,123.33,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,209.67,units,Usage
2025-01-08,Storage,37.0,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,62.9,units,Usage
2025-01-08,Database,-18.5,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,139.16,units,Usage
2025-01-08,Data Transfer,25.16,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,42.77,units,Usage
2025-01-09,Compute,119.9,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,203.84,units,Usage
2025-01-09,Storage,35.61,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,60.53,units,Usage
2025-01-09,Database,84.06,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,142.9,units,Usage
2025-01-09,Data Transfer,26.31,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,44.74,units,Usage
2025-01-10,Compute,111.93,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,190.27,units,Usage
2025-01-10,Storage,35.3,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,60.01,units,Usage
2025-01-10,Database,80.78,USD,acct-prod-001,us-east-1,Engineering,Customer Portal,prod,137.32,units,Usage
2025-01-10,Data Transfer,25.38,USD,acct-prod-001,us-west-2,Finance,Analytics,prod,43.15,units,Usage
2025-01-11,Compute,96.32,USD,acct-prod-001,us-east-1,,,prod,163.75,units,Usage
2025-01-11,Storage,29.8,USD,acct-prod-001,us-east-1,,,prod,50.67,units,Usage
2025-01-11,Database,70.32,USD,acct-prod-001,us-east-1,,,prod,119.54,units,Usage
2025-01-11,Data Transfer,21.45,USD,acct-prod-001,us-west-2,,,prod,36.47,units,Usage
2025-01-12,Compute,95.67,USD,acct-prod-001,us-east-1,,,prod,162.63,units,Usage
2025-01-12,Storage,30.63,USD,acct-prod-001,us-east-1,,,prod,52.07,units,Usage
2025-01-12,Database,70.84,USD,acct-prod-001,us-east-1,,,prod,120.43,units,Usage
2025-01-12,Data Transfer,22.8,USD,acct-prod-001,us-west-2,,,prod,38.76,units,Usage
2025-01-13,Compute,117.89,USD,acct-prod-001,us-east-1,,,prod,200.41,units,Usage
2025-01-13,Storage,36.12,USD,acct-prod-001,us-east-1,,,prod,61.4,units,Usage
2025-01-13,Database,79.81,USD,acct-prod-001,us-east-1,,,prod,135.67,units,Usage
2025-01-13,Data Transfer,25.37,USD,acct-prod-001,us-west-2,,,prod,43.13,units,Usage
2025-01-14,Compute,119.28,USD,acct-prod-001,us-east-1,,,prod,202.77,units,Usage
2025-01-14,Storage,37.48,USD,acct-prod-001,us-east-1,,,prod,63.72,units,Usage
